                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.81598,                0.92479,                 1.0302,                0.51472,                0.60497,                0.45115,                0.28761,                 1.7539,                 2.7397,                 1.5967,             0.00029434,             0.00029434,             0.00029434
                     58,                0.80276,                0.89836,                 1.0374,                 0.5991,                0.55805,                0.45674,                0.27391,                 1.8091,                 2.7941,                 1.6568,             0.00028347,             0.00028347,             0.00028347
                     59,                0.78357,                0.91084,                 1.0199,                0.71899,                0.50939,                0.58989,                0.39674,                 1.8397,                  2.767,                 1.6511,             0.00027268,             0.00027268,             0.00027268
                     60,                 0.7569,                0.86961,                0.99734,                0.76025,                0.50806,                0.59801,                 0.3755,                 1.8245,                 2.7184,                 1.6298,             0.00026197,             0.00026197,             0.00026197
                     61,                0.73438,                0.85256,                 1.0108,                0.69443,                0.50627,                0.59213,                0.28482,                 1.8538,                 2.7675,                 1.6637,             0.00025135,             0.00025135,             0.00025135
                     62,                 0.7343,                0.84025,                0.97669,                0.65252,                0.53739,                0.58388,                0.26099,                  1.916,                 2.9161,                 1.6978,             0.00024085,             0.00024085,             0.00024085
                     63,                0.71157,                0.85534,                 0.9971,                0.50063,                0.61318,                0.58429,                0.27234,                 1.8277,                 2.8411,                 1.6612,             0.00023046,             0.00023046,             0.00023046
                     64,                0.71272,                0.84426,                0.98856,                0.50557,                0.60592,                0.40578,                0.23286,                 1.8317,                 2.8598,                 1.6778,             0.00022021,             0.00022021,             0.00022021
                     65,                0.70772,                0.84302,                0.96885,                0.38853,                0.34115,                0.38692,                0.21992,                 1.8762,                 2.9033,                 1.7161,             0.00021009,             0.00021009,             0.00021009
                     66,                 0.6662,                0.79608,                0.96544,                0.44111,                0.34697,                0.40557,                0.22926,                 1.8593,                 2.8609,                 1.7312,             0.00020012,             0.00020012,             0.00020012
                     67,                0.72686,                0.82513,                0.97617,                0.53545,                0.34504,                0.38348,                0.23076,                 1.8541,                 2.7923,                 1.7384,              0.0001903,              0.0001903,              0.0001903
                     68,                0.68822,                0.80408,                0.96495,                0.53792,                0.34666,                0.37837,                0.23354,                 1.8774,                  2.793,                 1.7409,             0.00018066,             0.00018066,             0.00018066
                     69,                0.67236,                0.79714,                0.96117,                0.43749,                 0.3831,                 0.3782,                0.22635,                 1.8801,                 2.8229,                 1.7331,             0.00017119,             0.00017119,             0.00017119
                     70,                0.70253,                0.82729,                0.96543,                0.56936,                0.57239,                0.47051,                0.24041,                 1.8951,                 2.9084,                 1.7367,             0.00016191,             0.00016191,             0.00016191
                     71,                0.67553,                0.78604,                0.96893,                0.46794,                0.60683,                0.42274,                0.23093,                 1.8986,                 2.8763,                 1.7313,             0.00015283,             0.00015283,             0.00015283
                     72,                0.65686,                 0.7841,                0.94544,                0.48436,                0.64062,                0.42467,                0.24104,                 1.8731,                  2.814,                 1.7096,             0.00014395,             0.00014395,             0.00014395
                     73,                 0.6338,                0.76349,                0.92699,                0.46781,                0.64062,                0.39375,                0.23764,                 1.8339,                 2.7864,                 1.6949,             0.00013529,             0.00013529,             0.00013529
                     74,                0.65538,                0.77256,                0.94117,                0.48436,                0.61859,                0.39508,                0.23552,                 1.8261,                 2.7938,                 1.6959,             0.00012684,             0.00012684,             0.00012684
                     75,                 0.6502,                0.76836,                0.94269,                0.47769,                0.62921,                0.42842,                0.24474,                 1.8463,                 2.8156,                 1.7319,             0.00011863,             0.00011863,             0.00011863
                     76,                0.64626,                0.74071,                0.94889,                0.50129,                0.59987,                0.42581,                0.24481,                 1.8571,                 2.8197,                 1.7484,             0.00011066,             0.00011066,             0.00011066
                     77,                0.62863,                0.75461,                0.93785,                0.52113,                0.59343,                0.42586,                0.23806,                 1.8449,                 2.8328,                 1.7499,             0.00010293,             0.00010293,             0.00010293
                     78,                  0.656,                0.76815,                 0.9598,                0.56995,                0.58582,                0.46476,                0.25086,                 1.8179,                 2.8266,                 1.7261,             9.5458e-05,             9.5458e-05,             9.5458e-05
                     79,                0.61099,                0.73401,                0.94028,                0.48315,                0.59381,                0.42142,                0.23447,                 1.8004,                 2.7936,                 1.7085,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     80,                0.61874,                0.75038,                0.94753,                0.45419,                0.62667,                0.39781,                0.22519,                 1.7996,                 2.8267,                 1.7072,             8.1306e-05,             8.1306e-05,             8.1306e-05
                     81,                0.62514,                0.74634,                0.94999,                0.44805,                0.62701,                0.39827,                0.22004,                 1.8002,                 2.8173,                 1.7132,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     82,                0.61533,                 0.7363,                 0.9401,                 0.4575,                 0.6208,                 0.4187,                0.22016,                 1.7981,                 2.8264,                 1.7091,             6.8255e-05,             6.8255e-05,             6.8255e-05
                     83,                0.60271,                0.72759,                0.93543,                0.44173,                0.61029,                0.41601,                0.22299,                 1.8177,                 2.8878,                 1.7258,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     84,                0.60188,                0.73872,                0.94933,                0.48537,                0.59115,                0.42261,                0.22751,                 1.8205,                 2.8817,                 1.7312,             5.6358e-05,             5.6358e-05,             5.6358e-05
                     85,                0.58065,                 0.7172,                0.92592,                0.60952,                0.56954,                0.46372,                0.24006,                  1.835,                 2.8995,                 1.7364,             5.0857e-05,             5.0857e-05,             5.0857e-05
